Company Name,Company ID,Company Phone,Company Email,Location Name,Location ID,Location Address,Location Email,Location City,Location State,Contact Person Name,Contact Email,Contact Mobile,Invoice Number,Payment ID,Payment Amount,Payment Status,Payment Mode,Transaction Reference,Payment Date,Created Date,Updated Date
Test company,"""693c122f1dc8b70e577589fc""",9986028787,support@fritado.com,Pune,"""693c12811dc8b70e57758a02""",pune,rohit@example.com,,,Rohit,rohit@example.com,9845022307,887,693db2e04c79c92e28ffa80a,47873.28,pending,advance,TX-887-ADVANCE-1765651168,,2025-12-13,2025-12-13
Test company,"""693c122f1dc8b70e577589fc""",9986028787,support@fritado.com,Pune,"""693c12811dc8b70e57758a02""",pune,rohit@example.com,,,Rohit,rohit@example.com,9845022307,2ewe,693dac8fc05861154812ce37,54221.36,pending,final_payment,TX-2ewe-FINAL_PAYMENT-1765649551,,2025-12-13,2025-12-13
Test company,"""693c122f1dc8b70e577589fc""",9986028787,support@fritado.com,Pune,"""693c12811dc8b70e57758a02""",pune,rohit@example.com,,,Rohit,rohit@example.com,9845022307,csackm,693dac78c05861154812ce2d,70231.04,pending,invoice_payment,TX-csackm-INVOICE_PAYMENT-1765649528,,2025-12-13,2025-12-13
Test company,"""693c122f1dc8b70e577589fc""",9986028787,support@fritado.com,Pune,"""693c12811dc8b70e57758a02""",pune,rohit@example.com,,,Rohit,rohit@example.com,9845022307,8878,693dac60c05861154812ce23,209090.88,pending,advance,TX-8878-ADVANCE-1765649504,,2025-12-13,2025-12-13
Test10,"""693c5c0f2f8a76cb7ca5b2eb""",8765676545,test10@gmail.com,Patna,"""693d54432f8a76cb7ca5b369""",Bangalore,hello@fritado.com,,,Dipa,hello@fritado.com,8210986765,cas,693d6a5af6a79be1b882abec,4500,rejected,invoice_payment,TX-cas-INVOICE_PAYMENT-1765632602,,2025-12-13,2025-12-13
Test10,"""693c5c0f2f8a76cb7ca5b2eb""",8765676545,test10@gmail.com,Patna,"""693d54432f8a76cb7ca5b369""",Bangalore,hello@fritado.com,,,Dipa,hello@fritado.com,8210986765,cas,693d6a49f6a79be1b882abe2,3200,pending,advance,TX-cas-ADVANCE-1765632585,,2025-12-13,2025-12-13
Test10,"""693c5c0f2f8a76cb7ca5b2eb""",8765676545,test10@gmail.com,Patna,"""693d54432f8a76cb7ca5b369""",Bangalore,hello@fritado.com,,,Dipa,hello@fritado.com,8210986765,csc,693d6a3bf6a79be1b882abd8,6000,pending,advance,TX-csc-ADVANCE-1765632571,,2025-12-13,2025-12-13
Test10,"""693c5c0f2f8a76cb7ca5b2eb""",8765676545,test10@gmail.com,Patna,"""693d54432f8a76cb7ca5b369""",Bangalore,hello@fritado.com,,,Dipa,hello@fritado.com,8210986765,csc,693d6a2bf6a79be1b882abce,4200,pending,final_payment,TX-csc-FINAL_PAYMENT-1765632555,,2025-12-13,2025-12-13
Test10,"""693c5c0f2f8a76cb7ca5b2eb""",8765676545,test10@gmail.com,Patna,"""693d54432f8a76cb7ca5b369""",Bangalore,hello@fritado.com,,,Dipa,hello@fritado.com,8210986765,8878,693d6a0ff6a79be1b882abc4,6566.5,approved,final_payment,TX-8878-FINAL_PAYMENT-1765632527,,2025-12-13,2025-12-13
Test10,"""693c5c0f2f8a76cb7ca5b2eb""",8765676545,test10@gmail.com,Patna,"""693d54432f8a76cb7ca5b369""",Bangalore,hello@fritado.com,,,Dipa,hello@fritado.com,8210986765,8878,693d69abf6a79be1b882aba4,6766.62,pending,advance,TX-8878-ADVANCE-1765632427,,2025-12-13,2025-12-13
